family,op,shape,regime,dtype,jit_kernel,mlx_execute_us,mlx_p10_us,mlx_p90_us,mlx_marginal_us,jit_execute_us,jit_p10_us,jit_p90_us,jit_marginal_us,bytes,flops
floor,add,1,floor,f32,JitElementwise#add,446.3,373.6,572.5,216.4,420.6,368.6,511.7,256.4,12,1
elementwise,add,4096,decode,f32,JitElementwise#add,282.3,251.3,337.7,218.7,278.1,256.3,335.7,256.1,49152,4096
elementwise,add,16777216,large,f32,JitElementwise#add,2896.3,2826.0,3062.0,2840.2,1642.5,1465.5,1866.9,1481.9,201326592,16777216
elementwise,subtract,4096,decode,f32,JitElementwise#subtract,266.6,243.0,333.3,203.9,254.1,237.2,302.8,229.9,49152,4096
elementwise,subtract,16777216,large,f32,JitElementwise#subtract,2756.7,2705.5,2840.7,2732.9,1453.1,1404.1,1589.4,1826.8,201326592,16777216
elementwise,multiply,4096,decode,f32,JitElementwise#multiply,343.3,291.9,519.0,205.4,251.3,235.3,316.0,243.0,49152,4096
elementwise,multiply,16777216,large,f32,JitElementwise#multiply,2761.9,2704.7,2903.2,2647.0,1464.2,1416.1,1605.0,1425.2,201326592,16777216
elementwise,divide,4096,decode,f32,JitElementwise#divide,237.4,218.5,278.2,182.6,236.0,220.1,286.4,224.4,49152,4096
elementwise,divide,16777216,large,f32,JitElementwise#divide,2774.2,2713.3,2828.9,2626.6,1396.0,1380.5,1461.2,1431.4,201326592,16777216
elementwise,maximum,4096,decode,f32,JitElementwise#maximum,303.5,271.4,361.6,189.3,233.7,217.7,285.2,215.3,49152,4096
elementwise,maximum,16777216,large,f32,JitElementwise#maximum,2763.0,2703.7,2830.8,2637.3,1401.4,1379.4,1546.8,1432.6,201326592,16777216
elementwise,minimum,4096,decode,f32,JitElementwise#minimum,235.9,215.1,283.3,188.7,238.8,219.6,317.9,217.7,49152,4096
elementwise,minimum,16777216,large,f32,JitElementwise#minimum,2760.4,2691.7,2824.2,2629.6,1455.0,1404.2,1638.2,1419.5,201326592,16777216
elementwise,negative,4096,decode,f32,JitElementwise#negative,247.4,220.5,294.3,197.5,228.3,214.2,259.3,213.1,32768,4096
elementwise,negative,16777216,large,f32,JitElementwise#negative,2394.3,2339.7,2501.5,2285.3,1058.3,1017.2,1189.7,1040.7,134217728,16777216
elementwise,exp,4096,decode,f32,JitElementwise#exp,239.3,216.4,276.5,195.1,229.4,207.4,250.5,214.5,32768,4096
elementwise,exp,16777216,large,f32,JitElementwise#exp,2398.5,2353.6,2484.8,2311.3,1022.5,1007.8,1046.4,1044.1,134217728,16777216
elementwise,tanh,4096,decode,f32,JitElementwise#tanh,241.2,218.3,281.4,199.1,223.2,205.7,252.9,234.3,32768,4096
elementwise,tanh,16777216,large,f32,JitElementwise#tanh,2423.9,2319.1,2520.1,2297.7,1054.1,1013.6,1235.8,1042.0,134217728,16777216
elementwise,erf,4096,decode,f32,JitElementwise#erf,229.5,211.6,259.3,195.2,230.5,214.6,285.1,218.7,32768,4096
elementwise,erf,16777216,large,f32,JitElementwise#erf,2390.0,2333.1,2481.0,2310.9,1047.0,1012.2,1198.3,1019.4,134217728,16777216
elementwise,sigmoid,4096,decode,f32,JitElementwise#sigmoid,237.1,219.3,287.2,193.9,229.7,208.7,267.5,212.6,32768,4096
elementwise,sigmoid,16777216,large,f32,JitElementwise#sigmoid,2387.7,2333.8,2452.0,2303.7,1043.4,1013.1,1183.3,1045.2,134217728,16777216
elementwise,sqrt,4096,decode,f32,JitElementwise#sqrt,240.6,217.8,278.5,191.3,226.1,212.5,271.9,214.4,32768,4096
elementwise,sqrt,16777216,large,f32,JitElementwise#sqrt,2382.2,2333.5,2447.3,2285.4,1046.5,1015.3,1229.5,1042.3,134217728,16777216
elementwise,rsqrt,4096,decode,f32,JitElementwise#rsqrt,265.8,241.1,305.6,186.2,227.5,213.7,264.4,217.8,32768,4096
elementwise,rsqrt,16777216,large,f32,JitElementwise#rsqrt,2362.6,2324.8,2437.9,2300.2,1038.0,1010.0,1115.1,1004.4,134217728,16777216
elementwise,square,4096,decode,f32,JitElementwise#square,243.6,217.8,282.8,196.6,228.0,206.6,260.5,211.9,32768,4096
elementwise,square,16777216,large,f32,JitElementwise#square,2377.3,2324.2,2426.6,2289.0,1041.4,1010.3,1226.7,1031.5,134217728,16777216
blas,matmul,128x4096x4096,prefill,f32,JitBlas#gemm,2066.4,2036.8,2134.5,2064.1,3351.3,3287.1,3443.2,3286.8,71303168,4294967296
blas,matmul,512x4096x4096,prefill,f32,JitBlas#gemm,4850.2,4797.2,4991.5,4845.9,11508.9,11172.9,11771.5,12580.9,83886080,17179869184
blas,matmulTransposed,1x4096x4096,decode,f32,JitBlas#gemv,681.3,650.8,813.5,632.7,1157.8,1116.2,1222.8,650.8,67141632,33554432
blas,matmulTransposed,1x4096x14336,decode,f32,JitBlas#gemv,1663.0,1633.6,1732.5,1609.0,1624.4,1591.5,1778.8,1635.4,234954752,117440512
blas,matmulTransposed,128x4096x4096,prefill,f32,JitBlas#gemmTransposed,2485.1,2401.6,2620.1,2435.7,4350.7,4264.0,4591.5,4345.8,71303168,4294967296
blas,matmulTransposed,1x4096x4096,decode,f16,JitBlas#gemvF16,561.1,489.9,2800.9,467.8,955.3,920.0,1037.9,479.0,33570816,33554432
blas,matmulTransposed,128x4096x4096,prefill,f16,JitBlas#gemmTransposedF16,1716.0,1654.0,1954.2,1616.3,3892.3,3795.4,4023.5,3835.8,35651584,4294967296
blas,addmm,128x4096x4096,prefill,f32,JitBlas#addmm,2123.0,2052.2,2214.9,2075.6,3386.3,3327.5,3508.8,3309.1,73400320,4294967296
fast,rmsNorm,1x4096,decode,f32,JitFast#rmsNorm,242.7,219.6,307.9,198.9,258.4,239.1,325.7,283.8,49152,16384
fast,layerNorm,1x4096,decode,f32,JitFast#layerNorm,275.4,245.3,349.5,228.8,324.4,303.5,372.8,286.6,65536,32768
fast,rmsNorm,512x4096,prefill,f32,JitFast#rmsNorm,578.3,538.2,647.3,528.1,359.5,336.8,440.5,435.3,16793600,8388608
fast,layerNorm,512x4096,prefill,f32,JitFast#layerNorm,583.9,548.0,659.8,547.2,442.3,398.7,514.0,363.5,16809984,16777216
fast,rope,32x1x128,decode,f32,JitFast#rope,253.4,224.2,316.1,200.2,236.8,217.1,298.0,237.2,32768,24576
fast,ropeDynamic,32x1x128,decode,f32,JitFast#ropeDynamic,252.3,230.9,317.0,213.4,260.8,236.8,324.0,264.1,32768,24576
fast,rope,32x512x128,prefill,f32,JitFast#rope,569.4,525.5,649.2,513.3,351.3,323.4,458.8,368.9,16777216,12582912
fast,ropeDynamic,32x512x128,prefill,f32,JitFast#ropeDynamic,550.5,516.6,610.3,525.8,358.3,325.2,429.0,403.3,16777216,12582912
fast,sdpa,32/8x1024x128,decode,f32,JitFast#attentionDecode,420.4,307.7,499.5,289.3,1614.6,1596.7,1728.5,1661.3,8388608,16777216
fast,sdpa,32/8x4096x128,decode,f32,JitFast#attentionDecode,530.0,479.3,760.2,478.2,6402.0,6347.9,6524.0,6389.2,33554432,67108864
reductions,softmax,151936,decode,f32,JitReductions#softmaxRows,314.1,290.6,377.0,271.5,406.4,385.3,473.1,440.4,1215488,607744
reductions,softmaxRows,512x4096,prefill,f32,JitReductions#softmaxRows,601.1,559.8,657.2,534.1,524.3,403.2,730.4,384.9,16777216,8388608
reductions,softmaxLastTwoAxes,32x8x512,prefill,f32,JitReductions#softmaxRows,353.8,330.8,396.2,318.6,295.9,275.2,329.3,276.8,1048576,524288
reductions,argmax,151936,decode,f32,JitReductions#argmaxRows,303.0,274.7,354.1,264.5,320.9,301.4,422.2,306.3,607744,151936
reductions,argmaxRows,64x32000,batch,f32,JitReductions#argmaxRows,339.0,299.7,512.8,281.6,313.2,289.3,368.5,354.7,8192000,2048000
reductions,topk,151936 k50,decode,f32,JitReductions#topkRows,568.0,538.6,628.3,532.6,8385.7,8350.7,8489.3,8373.2,607744,151936
reductions,topkRows,32x32000 k40,batch,f32,JitReductions#topkRows,1210.2,1168.0,1334.8,1185.9,3318.7,3288.6,3365.0,3316.6,4096000,1024000
quantized,quantize,4096x4096 q4 g64,load,f32,JitQuantized#quantize,1683.7,1605.4,1830.9,1573.5,1379.8,1303.7,1683.4,878.1,77594624,50331648
quantized,dequantize,4096x4096 q4 g64,load,f32,JitQuantized#dequantize,2194.4,2139.4,2262.8,2112.4,694.0,651.3,834.4,658.3,77594624,33554432
quantized,quantizedMatmul,1x4096x4096 q4,decode,f32,JitQuantized#quantizedMatmul,421.6,361.0,492.8,379.4,843.6,811.9,944.3,392.2,10518528,33554432
quantized,quantizedMatmul,1x4096x14336 q4,decode,f32,JitQuantized#quantizedMatmul,488.5,459.8,862.5,448.8,661.2,635.1,751.0,643.8,36773888,117440512
quantized,quantizedMatmul,1x4096x4096 q8,decode,f32,JitQuantized#quantizedMatmul,365.8,323.3,538.8,329.4,457.6,430.3,526.1,449.8,18907136,33554432
quantized,quantizedMatmul,16x4096x4096 q4,prefill,f32,JitQuantized#quantizedMatmul,669.7,642.2,747.0,624.4,3009.3,2953.8,3119.2,2929.8,11010048,536870912
quantized,gatherQmm,8of16x4096x1536 q4,decode,f32,JitQuantized#gatherQmm,750.1,519.4,827.3,397.3,815.7,798.6,850.1,802.3,31457280,100663296
